8th Cross, V V Mohalla, Mysore  [Sept 13, 1997]  
anjana vaNNanin (pada varnam)  [rAgapanjara] L
AnjanAnandam bOdhi candrA  [tODi] L
AnjanEya raghurAma  [sAvEri] L
AnjanEyam sadA (note)  [shankarAbharaNam]  
anjEl enru  [bhairavi] L
anjezhuttinai nenjilE  [rAgavinOdini] L
anjiDum pOdilE  [unknown] L
anjikin yAtakayya  [kalyANi] L
anjiyanjiyE  [bhairavi] L
anjuvadEnO nanjE  [gauLipantu] L
Anma nEya orumai  [mOhana] L
Anma nEyarga  [kuntalavarALi] L
Anmap-poduvil  [dEs] L
AnmAvAna gaNapatiyin  [hamsadwani] L
annai annai  [hindustanitODi] L
annai besaNTin  [bilahari] L
annai enavE  [shrI] L
annai mAkALi  [kApi] L
annai pOl  [Anandabhairavi] L
annai vANiyin  [shIlAngi] L
AnnaiyargaL vanam nADi vandAr  [tODi] L
annaiyin kAlil  [rAgamAlikA] L
aNNal rAmacandranuDan (Unjal) pATTu)  [navarOj] L
aNNAmalai appanE  [tODi] L
annAmayA nIku shASTAnga  [mOhana] L
Anname Varnam  [Arabhi]  
annapoorNE  [Sāma,sAmA (incomplete)]  
annapoorNe visAlAkshi  [Sāma,sAmA,sAma,shyAmA] L
annapUrNEshwari  [kharaharapriyA] L
annayE nin pAdamE  [kamAs] L
annayum tandayum  [Haridhos,Harikāmbhōji,kApi] L
anrE nAn sonnadu tannE  [madhyamAvati] L
anru ivvulagam  [kurinji]  
antA rAmamayam  [Ananda bhairavi] L
antakana dUtarige  [bAgEshrI] L
antaram maNanda malar antarangam  [kalyANi] L
antaranga  [husEni]  
antaranga bhakti  [shadvidamArgiNi,shhadvidamArgini] L
antarangadalli  [Mōhanaṁ,mOhanam]  
antarangamellAm  [vAcaspati] L
antarangattilE tantiram  [sarasvati] L
antarangattilE vandu  [sArangA] L
anu kAlavu  [kApi] L
anubhavadaDugeya  [nAdanAmakriya] L
anudinadali bandu  [yadukulakAmbhOji] L
anudinam paNI  [SaNmukhapriyA] L
anudinamum unnai  [kAnaDA,madhyamAvati] L
anudinamunu  [bEgaDA]  
anudinamunu kAvumayya  [bEgaDa] L
anukalxxx  [AbOgi,Ābhōgī]  
anumanE marutan  [hindOLa] L
anupama  [aTANA]  
anupamaguNAmbudhi  [Aṭāna,aTANA,aThANA] L
anurAgamulE  [saraswati] L
anurAgamulEni manasuna  [saraswati]  
anuvAvi malai mEvum  [maNirangu] L
anuvAvi malai vAsanE  [cenjuruTi] L
aNUveDi vIzhndAlum  [sAvEri] L
anya satiya  [kAmavardhani] L
anyAyamu  [kApi,reetigowLa]  
anyAyamu sEyakurA  [kApi] L
apaDooru  [kamAs]  
Apadooruku  [Kamās]  
apadUruku lOnaitinE (jAvali)  [kamAs] L
apakAra nindai  [chakravagam]  
apamAnavAdare  [pUrvi] L
aparAda  [latAngi]  
apArada mulannu  [Latāngi,Varāḷi,darbAr,latAngi]  
aparAdhamula nOrva  [rasALi] L
aparAdhamulamAnpi  [darbAr] L
aparAdhamulanniyu  [Latāngi,latAngi] L
Aparadhamulanniyu manninchi  [Latāngi]  
aparAdhangaL  [hamIrkalyANi] L
aparAdhiyagu nAdu  [bilahari] L
aparAdi nAnalla  [rEvati] L
aparAjitE  [kannaDa] L
aparam na jAnAmitE  [kApi] L
apavarga pradam  [pashupatipriyA] L
appA murugayyanE  [divyamaNi] L
appa rAma  [pantuvarALi]  
appa rAma bhakti  [Kāmavardani,Kāmavardani/Pantuvarāḷi,Pantuvarali,kAmavardhani,kamavardani,pantuvalrALi,pantuvarALi] L
appA un ponnaDi  [shenjuruTTi] L
appA un pugazhai  [yadukulakAmbhOji] L
appA unnai nambinEn  [nATakuranji] L
appan avataritta  [Karaharapriya,karaharapriyA,kharaharapriyA] L
appanE  [tODi] L
appanum ammaiyum  [aThANA] L
appappA nI  [Anandabhairavi] L
appuDu manasu  [kamAs]  
appulEni samsAra  [sindu bhairavi] L
apuDu manasu (jAvali)  [kamAs] L
apuroopamAna peN  [Bhairavi]  
Ar arivAr  [sindhubhairavi] L
Ara hAraisidarEnuNTu  [madhyamAvati] L
Ara maganenda  [bhairavi] L
ArabhimAnam  [Rāgamālika,rAgamAlikA,rAgamAlika] L
AradayAmi  [Bilahari,bilahari] L
arahara murugA  [bhairavi] L
ArAindu pArAi  [kAmbhOji,sArangA] L
ArakimpavE  [tODi] L
AraNa poruLE  [dEvagAndhAri,karaharapriyA] L
AraNAgradi  [shankarAbharaNa] L
AraNamum Agamum  [kharaharapriyA] L
ArAr Asai  [shankarAbharaNam] L
arasE un aDimaiyai  [darbAr] L
Aratiya beLagire  [shrI] L
araTTonru pOTTinda  [dhanyAsi] L
aravainda nayanam  [AndOLikA] L
aravinda lochananE  [nItimati,neetimati] L
aravinda padamalar  [Kāpi,kApi] L
aravindAlayE tAyE  [kEdAragauLa] L
arbuta leelaigalai  [Sivakavi,madhyamAvati] L
ardhanAreeswaram  [Kumudakriyā,kumudakriyA,kumudakriya] L
ArEna mADuvaru  [kAmbhOji] L
ArEnu mADuvaru Arinda  [mukhAri] L
ArEnu mADuvaru tA  [behAg] L
Arige moreyiDalo  [shankarAbharaNa] L
arindEnE inrE unnaiyE  [Ahiri] L
arivAghiya parabrahmamE  [bhUpALa] L
arivAghiya payir  [latAngi] L
arivAnO kaNNan (padam)  [yadukulakAmbhOji] L
arivEn arindEn enru Ayiram  [khamAs] L
arivuDaiyOr  [cakravAkam] L
ariyAda mukham  [gaurimanOhari] L
ariyAdAr vambinai  [kalgaDa] L
ariyadavarige  [tODi] L
ariyade bandevu  [sAranga] L
Ariyakudi Ramanuja Iyengar  [Vocal]  
ariyaru  [kAmavardhani] L
ariyAyO nenjamE  [kannaDagauLa] L
ariyinba nAmam  [valaji] L
arjuna sArathim AshrayE  [jayantashrI] L
ArO nIyena  [hEmavati] L
ArO vandennai  [sudda bangALa] L
ArOgaNeya  [mukhAri] L
arputa cirpiyaDi  [cakravAka] L
arputa mAyAvi  [aThANA] L
arputamAghiya virundE  [ratipatipriyA] L
Aru badukidarayya  [kAmbhOji] L
Aru badukidarEnu  [kAmbhOji] L
Aru bandavaravva  [?] L
Aru bAraru  [madhyamAvati] L
Aru hitavaru  [mukhAri] L
Aru olidarEnu  [Anandabhairavi] L
Aru paDai  [Arabhi,hamsAnandi] L
Aru sari ninage  [sAvEri] L
Arudal aLikkum  [hindOLa] L
Arudal kUra  [paraju] L
ArudalAi iruppAyE  [dharmavati] L
ArUDham onru sollaDi  [kalyANi] L
Arukku ponnambalam  [Bhairavi,bhairavi]  
Arukkum aDangAda  [bEgaDa] L
aruL oLi  [unknown] L
aruL pArayyA  [bilahari] L
aruL puri  [sarasvati] L
aruL puri ArumukhanE  [SaNmukhapriyA] L
aruL puri murugA  [hEmavati] L
aruL purindiDAdu  [mOhana] L
Arul Seiya Vendum Ayya  [Rasikapriya,rasikapriya]  
aruL seyya  [Karaharapriya,rasikapriyA]  
aruL seyya vENDum  [rasikapriyA] L
aruL unadai  [shahAnA] L
